% The features currently being using within the machine learning classifier of the pipeline approach
%
% Number of instances: 17118
%
% Number of features: 30 plus class
%
% Author: Stephanie Durand
%

@RELATION pipeline

@ATTRIBUTE 'pos_lexicon'         NUMERIC
@ATTRIBUTE 'neg_lexicon'         NUMERIC
@ATTRIBUTE 'has_char_ngrams'     {True, False}
@ATTRIBUTE 'num_all_caps'        NUMERIC
@ATTRIBUTE 'has_punct_ngrams'    {True, False}
@ATTRIBUTE 'num_T'               NUMERIC
@ATTRIBUTE 'num_,'               NUMERIC
@ATTRIBUTE 'num_!'               NUMERIC           
@ATTRIBUTE 'num_#'               NUMERIC
@ATTRIBUTE 'num_$'               NUMERIC
@ATTRIBUTE 'num_&'               NUMERIC
@ATTRIBUTE 'num_L'               NUMERIC
@ATTRIBUTE 'num_M'               NUMERIC
@ATTRIBUTE 'num_N'               NUMERIC
@ATTRIBUTE 'num_O'               NUMERIC
@ATTRIBUTE 'num_@'               NUMERIC
@ATTRIBUTE 'num_A'               NUMERIC
@ATTRIBUTE 'num_D'               NUMERIC
@ATTRIBUTE 'num_E'               NUMERIC
@ATTRIBUTE 'num_G'               NUMERIC
@ATTRIBUTE 'num_X'               NUMERIC
@ATTRIBUTE 'num_Y'               NUMERIC
@ATTRIBUTE 'num_Z'               NUMERIC
@ATTRIBUTE 'num_^'               NUMERIC
@ATTRIBUTE 'num_P'               NUMERIC
@ATTRIBUTE 'num_R'               NUMERIC
@ATTRIBUTE 'num_S'               NUMERIC
@ATTRIBUTE 'num_U'               NUMERIC
@ATTRIBUTE 'num_V'               NUMERIC
@ATTRIBUTE 'num_~'               NUMERIC
@ATTRIBUTE class                 {positive, neutral, negative}

@DATA
0,0,False,2,False,0,5,0,1,1,0,0,0,7,0,0,1,0,0,0,0,0,0,5,3,0,0,1,0,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
2,0,False,0,False,0,2,0,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,2,1,0,0,0,3,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
1,0,False,0,False,0,6,0,0,1,1,0,0,6,0,0,1,0,1,0,0,0,0,6,2,0,0,0,4,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,1,False,1,3,0,0,1,0,0,0,5,1,1,0,4,0,0,0,0,0,4,3,0,0,0,4,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,1,False,0,7,1,0,0,0,1,0,6,3,0,0,4,0,0,1,0,0,2,3,3,0,0,3,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,2,False,1,False,0,3,0,0,1,0,0,0,5,1,1,1,3,0,0,0,0,0,1,3,4,0,0,5,1,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,True,2,False,0,1,0,0,1,1,0,0,5,0,0,0,3,0,0,0,0,1,3,2,0,0,0,2,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,0,False,0,1,0,0,0,2,0,0,2,1,1,0,1,0,0,0,0,0,3,0,2,0,0,5,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,2,False,0,4,0,1,0,1,0,0,5,2,0,0,1,0,0,0,0,0,0,3,3,0,0,5,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,0,False,1,5,0,0,0,1,0,0,3,4,1,0,3,0,0,0,0,0,4,1,2,0,0,7,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
2,0,False,0,False,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,2,1,1,0,1,4,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
2,0,True,0,False,1,3,2,0,0,0,1,0,1,2,1,2,2,0,0,0,0,0,1,2,0,0,0,3,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,False,2,False,0,4,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,10,1,0,0,1,0,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,2,False,0,False,0,2,0,0,0,1,1,0,2,3,3,2,1,0,0,0,0,1,1,1,3,0,0,4,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,False,1,False,0,2,1,0,0,0,0,0,4,1,1,1,2,0,0,0,0,0,0,2,0,0,0,2,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
1,0,False,0,False,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,8,1,0,0,1,1,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,0,False,1,2,1,1,0,0,0,0,2,2,0,0,3,0,0,0,0,0,5,3,1,0,0,5,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,1,False,0,False,0,2,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,3,0,3,0,0,5,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,0,False,1,3,0,0,1,1,0,0,4,0,0,1,3,0,0,0,0,0,8,6,0,0,0,2,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,0,True,1,3,1,0,0,1,2,0,3,1,1,0,1,2,0,0,0,0,1,1,0,0,0,6,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
1,1,False,0,False,0,9,0,0,0,0,2,0,5,2,0,2,1,0,0,0,0,0,3,2,1,0,0,5,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,1,False,0,True,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,5,3,1,0,1,3,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,1,False,0,False,0,3,2,0,0,0,0,0,5,3,1,0,3,1,0,0,0,0,1,3,2,0,0,4,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,2,False,0,2,0,0,0,1,0,0,4,3,0,1,2,0,0,0,0,0,2,1,1,0,0,5,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
1,1,False,1,False,0,4,0,1,1,0,1,0,3,0,0,3,2,0,0,0,0,1,6,3,0,0,0,2,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,False,0,False,1,2,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,3,1,1,0,0,3,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,1,False,1,False,0,2,0,1,0,0,0,0,3,0,0,2,1,0,0,0,0,1,4,1,1,0,1,2,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
1,1,False,0,False,0,2,0,1,0,0,1,0,4,0,1,1,0,0,0,0,0,0,2,2,0,0,0,2,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
2,0,False,0,False,1,1,0,0,0,0,0,0,4,3,0,3,1,0,0,0,0,0,2,5,1,0,0,3,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,0,False,0,3,0,1,0,0,0,0,5,0,0,1,2,0,0,0,0,0,1,4,1,0,1,2,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,0,False,0,2,0,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,5,1,1,0,0,3,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
2,0,False,0,False,1,3,0,0,0,0,1,0,7,0,0,2,2,0,0,0,0,0,4,5,3,0,0,3,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,0,False,0,3,0,0,0,1,0,0,4,2,1,0,1,0,0,1,0,0,5,7,1,0,0,6,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,2,False,0,False,0,2,0,0,1,0,0,0,0,3,1,1,2,0,0,0,0,0,2,3,0,0,0,6,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
5,0,False,0,False,0,0,0,0,0,0,0,0,5,1,0,2,2,0,0,0,0,0,2,5,3,0,0,4,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,1,False,0,False,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,7,4,0,0,0,2,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,1,True,0,False,0,1,1,0,0,1,1,0,0,4,1,1,0,1,0,0,0,0,2,0,1,0,0,5,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,2,False,0,False,1,2,0,2,0,1,0,0,3,1,0,1,2,0,0,0,0,0,3,2,1,0,0,5,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
2,1,False,0,False,0,3,0,0,2,0,0,0,4,0,1,1,1,1,0,0,0,0,1,3,0,0,0,2,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,False,0,False,0,2,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,3,0,0,0,7,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
2,0,False,0,False,0,2,0,0,0,1,0,0,4,0,0,3,1,0,0,0,0,0,0,2,0,0,0,5,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,2,False,0,3,0,1,0,1,0,0,2,1,2,3,1,0,0,0,0,0,4,4,0,0,0,4,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,False,0,False,0,2,0,0,3,1,0,0,6,1,0,0,2,0,0,0,0,0,4,4,0,0,0,2,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,1,False,0,False,0,1,0,0,0,0,0,0,3,2,0,1,2,0,0,0,0,1,3,3,0,0,1,4,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
1,0,False,1,False,0,1,0,0,1,0,0,0,4,2,0,1,2,0,0,0,0,0,3,4,1,0,1,5,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
2,0,False,1,False,0,2,0,0,0,1,0,0,4,0,0,1,1,0,0,0,0,0,7,1,0,0,1,2,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,False,0,False,0,5,0,2,1,0,0,0,3,3,0,2,1,0,0,0,0,0,1,1,0,0,0,7,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,0,False,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,6,5,0,0,1,4,1,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,2,False,0,3,0,0,3,1,0,0,5,0,0,2,3,0,0,0,0,0,7,2,0,0,0,2,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,False,0,False,0,2,0,0,1,1,0,0,8,1,0,0,3,1,0,0,0,0,1,6,1,0,0,4,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
1,0,False,0,False,0,3,2,0,1,1,1,0,4,4,1,2,3,0,0,0,0,0,2,2,1,0,0,4,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
1,1,False,0,False,0,3,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,1,1,2,1,0,1,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,False,0,False,0,2,0,0,1,1,0,0,4,2,1,3,1,0,0,0,0,0,3,1,0,0,0,4,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,0,False,0,1,0,0,0,1,0,0,0,0,0,1,2,0,2,1,0,0,7,0,1,0,1,4,1,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,False,3,False,0,5,0,1,0,0,0,0,5,0,0,1,1,0,0,0,0,0,9,4,0,0,0,1,1,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,2,False,0,False,0,2,1,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,3,0,0,0,3,1,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,0,False,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,1,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,0,False,0,1,0,0,2,0,0,0,3,0,1,1,3,0,0,0,0,1,3,3,0,0,1,3,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,False,1,False,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,3,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,1,False,0,False,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,2,1,1,0,0,3,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,1,False,1,False,0,8,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,1,5,2,2,0,0,4,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,0,False,0,2,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,8,4,0,0,0,4,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
1,0,False,1,False,1,3,0,0,2,1,0,0,4,1,0,0,3,0,0,0,0,0,1,4,0,0,1,5,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,0,False,1,1,0,0,1,0,1,0,6,0,0,2,2,0,0,0,0,1,1,5,0,0,0,2,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,0,False,1,2,0,0,1,0,0,0,3,1,0,2,2,0,0,0,0,0,2,3,0,0,1,3,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,0,False,0,0,0,0,2,0,1,0,4,1,1,3,2,0,0,0,0,0,1,3,6,0,0,3,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,1,False,0,3,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,1,1,2,0,0,2,2,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,0,False,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,1,0,0,5,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
2,0,False,1,False,2,2,0,0,0,0,0,0,6,0,0,1,2,0,1,0,0,1,6,2,0,0,0,2,1,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,1,False,0,False,0,6,0,0,0,0,1,0,4,1,1,0,2,0,0,0,0,0,5,5,1,0,0,3,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
2,0,False,0,False,0,2,0,0,1,2,0,0,1,5,1,1,1,0,0,1,0,0,1,2,1,0,0,9,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,0,False,0,2,0,0,2,0,0,0,5,0,0,1,0,0,0,0,0,0,4,3,1,0,1,2,1,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,1,False,2,False,0,7,0,1,0,1,0,0,3,1,0,1,2,0,0,0,0,0,5,2,0,0,1,2,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,0,False,0,7,1,0,0,0,1,0,2,0,3,1,2,0,0,0,0,0,2,1,2,0,0,1,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,5,False,0,7,0,0,1,1,0,0,6,1,0,0,1,0,0,0,0,0,6,1,0,0,1,1,1,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
1,0,False,0,False,0,2,0,0,0,0,0,0,5,0,0,2,2,0,0,0,0,1,5,3,0,0,0,1,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
1,0,False,0,False,0,2,1,0,1,1,0,0,2,1,0,3,0,0,0,0,0,0,2,0,0,0,0,3,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
1,0,False,1,False,0,2,0,0,0,1,0,0,1,1,1,0,3,1,0,0,0,0,5,3,1,0,0,7,0,positive
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,4,False,0,False,0,9,1,0,0,0,1,0,5,1,0,1,3,0,0,0,0,0,4,2,1,0,0,3,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,1,False,0,False,0,1,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,4,6,0,0,1,3,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,1,False,0,False,0,1,3,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,False,1,False,0,1,1,0,1,0,0,0,2,3,1,0,1,0,0,0,0,0,7,3,1,0,0,5,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,False,1,False,0,4,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,2,0,6,0,0,2,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,False,1,False,0,4,0,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,4,3,0,0,1,2,0,neutral
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,3,False,2,False,0,2,0,0,0,0,0,0,4,1,0,2,3,0,0,0,0,0,2,4,2,0,0,5,0,negative
0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,False,3,False,0,7,0,0,0,2,0,0,2,4,2,0,0,0,0,0,0,0,4,3,1,0,0,3,0,positive
